Isolate,Host
10095A_19,Animal
10102A_19,Animal
10184d_18,Animal
10299A_19,Animal
10424A_17,Animal
10sab,Human
1192A_18,Animal
11sab,Human
1285C_20,Animal
12sab,Human
1337a_19,Animal
1376B_18,Animal
13sab,Human
141sab,Human
142sab,Human
143sab,Human
144sab,Human
145sab,Human
1466a_19,Animal
146sab,Human
147sab,Human
14sab,Human
152sab,Human
153sab,Human
154sab,Human
1557A_20,Animal
155sab,Human
156sab,Human
157sab,Human
1586A_18,Animal
158sab,Human
1590A_18,Animal
159sab,Human
15sab,Human
160sab,Human
161sab,Human
16sab,Human
1783B_18,Animal
179sab,Human
180sab,Human
181sab,Human
185sab,Human
186sab,Human
187sab,Human
188sab,Human
189sab,Human
190sab,Human
191sab,Human
192sab,Human
193A_20,Animal
193sab,Human
195sab,Human
196sab,Human
197sab,Human
1985_2B_20,Animal
198sab,Human
1991A_20,Animal
199sab,Human
1sab,Human
200sab,Human
201sab,Human
202sab,Human
2045A_18,Animal
204sab,Human
205sab,Human
206sab,Human
207sab,Human
208sab,Human
2098_18,Animal
209sab,Human
210sab,Human
211sab,Human
212sab,Human
213sab,Human
214sab,Human
215sab,Human
216sab,Human
217sab,Human
218sab,Human
219sab,Human
220sab,Human
2210B_18,Animal
2217b_19,Animal
221sab,Human
222sab,Human
223sab,Human
224sab,Human
225sab,Human
226sab,Human
227sab,Human
228sab,Human
229sab,Human
230sab,Human
231sab,Human
2324a_19,Animal
233sab,Human
235sab,Human
236sab,Human
237sab,Human
238sab,Human
239sab,Human
23sab,Human
240sab,Human
241sab,Human
242sab,Human
243sab,Human
244sab,Human
245sab,Human
246sab,Human
247sab,Human
248sab,Human
249sab,Human
24sab,Human
250sab,Human
251sab,Human
2522A_19,Animal
252sab,Human
253sab,Human
254sab,Human
255sab,Human
256sab,Human
257sab,Human
258sab,Human
259sab,Human
25sab,Human
2601A_19,Animal
260sab,Human
261sab,Human
262sab,Human
263sab,Human
264sab,Human
265sab,Human
266sab,Human
267sab,Human
268sab,Human
26sab,Human
273sab,Human
2747G_19,Animal
274sab,Human
2757A_18,Animal
275sab,Human
276sab,Human
277sab,Human
278sab,Human
279sab,Human
2805A_19,Animal
280sab,Human
281sab,Human
282sab,Human
283sab,Human
284sab,Human
285sab,Human
286sab,Human
287sab,Human
288sab,Human
289sab,Human
290sab,Human
291sab,Human
292sab,Human
293sab,Human
2949_1B_18,Animal
294sab,Human
295sab,Human
296sab,Human
297sab,Human
299sab,Human
300sab,Human
301sab,Human
302sab,Human
303sab,Human
304sab,Human
305sab,Human
306sab,Human
307sab,Human
308sab,Human
309sab,Human
310sab,Human
3113_3A_18,Animal
311sab,Human
312sab,Human
313sab,Human
314sab,Human
315sab,Human
316sab,Human
317sab,Human
318sab,Human
319sab,Human
31sab,Human
320sab,Human
321sab,Human
322sab,Human
323sab,Human
324sab,Human
325sab,Human
326sab,Human
327sab,Human
3284A_19,Animal
328sab,Human
329sab,Human
32sab,Human
330sab,Human
331sab,Human
332sab,Human
333sab,Human
334sab,Human
335sab,Human
336sab,Human
337sab,Human
338sab,Human
339sab,Human
33sab,Human
340sab,Human
3410_4E_19,Animal
341sab,Human
342sab,Human
343sab,Human
344sab,Human
345sab,Human
346sab,Human
347sab,Human
348sab,Human
349sab,Human
350sab,Human
351sab,Human
352sab,Human
353sab,Human
354sab,Human
355sab,Human
356sab,Human
357sab,Human
3581A_18,Animal
358sab,Human
359sab,Human
360sab,Human
361sab,Human
362sab,Human
363sab,Human
3659B_19,Animal
3669A_18,Animal
3684_A_19,Animal
369sab,Human
36sab,Human
370sab,Human
371sab,Human
372sab,Human
373sab,Human
374sab,Human
3779B_18,Animal
377A_20,Animal
37sab,Human
381sab,Human
382sab,Human
383sab,Human
384sab,Human
385sab,Human
386sab,Human
387sab,Human
388sab,Human
389sab,Human
390sab,Human
391sab,Human
392sab,Human
393sab,Human
394sab,Human
395sab,Human
396sab,Human
397sab,Human
398sab,Human
399sab,Human
3sab,Human
400sab,Human
402sab,Human
403sab,Human
404sab,Human
4052C_18,Animal
405sab,Human
406sab,Human
407sab,Human
408sab,Human
409sab,Human
410sab,Human
411sab,Human
4121_E_19,Animal
412sab,Human
413sab,Human
414sab,Human
415sab,Human
416sab,Human
417sab,Human
4184_18,Animal
418sab,Human
419sab,Human
420sab,Human
421sab,Human
425sab,Human
4273A_19,Animal
438sab,Human
439sab,Human
440sab,Human
441sab,Human
442sab,Human
4433_2B_18,Animal
443sab,Human
444sab,Human
445sab,Human
446sab,Human
447sab,Human
448sab,Human
449sab,Human
450sab,Human
451sab,Human
452sab,Human
453sab,Human
454sab,Human
455sab,Human
456sab,Human
457sab,Human
458sab,Human
459sab,Human
460sab,Human
461sab,Human
462sab,Human
4638c_18,Animal
463sab,Human
4640b_18,Animal
464sab,Human
465sab,Human
466sab,Human
467sab,Human
468sab,Human
469sab,Human
470sab,Human
4719c_18,Animal
471sab,Human
472sab,Human
473sab,Human
4744b_18,Animal
474sab,Human
475sab,Human
476sab,Human
477sab,Human
478sab,Human
479sab,Human
480sab,Human
481sab,Human
482sab,Human
483sab,Human
491sab,Human
492sab,Human
493sab,Human
494sab,Human
495sab,Human
4967_B_19,Animal
496sab,Human
497sab,Human
498sab,Human
499sab,Human
4sab,Human
5191_4A_19,Animal
5231a_18,Animal
5367b_18,Animal
5410a_18,Animal
5411e_18,Animal
5439_A_19,Animal
549A_18,Animal
5539a_18,Animal
5687_2A_19,Animal
579A_18,Animal
5886a_18,Animal
5888b_18,Animal
5969_2a_18,Animal
6020b_19,Animal
6126a_19,Animal
6152a_18,Animal
6168f_18,Animal
6214a_18,Animal
6530G_19,Animal
662A_18,Animal
6696A_19,Animal
6713_4a_18,Animal
6865H_19,Animal
6986A_18,Animal
698d_19,Animal
6sab,Human
7085B_17,Animal
7243_1a_18,Animal
7336_5a_19,Animal
7337B_17,Animal
7370_2a_19,Animal
7415_2A_19,Animal
7493_4B_18,Animal
7520b_18,Animal
7536_3B_19,Animal
7657c_18,Animal
76sab,Human
7771C_17,Animal
7791A_19,Animal
77sab,Human
7847C_17,Animal
7852C_18,Animal
7856_33A_18,Animal
78sab,Human
7967_3C_18,Animal
79sab,Human
7sab,Human
8026A_19,Animal
80sab,Human
8101a_18,Animal
8114a_18,Animal
81sab,Human
82sab,Human
83sab,Human
8475a_18,Animal
84sab,Human
8518A_19,Animal
8557_1a_18,Animal
8581A_19,Animal
8711A_19,Animal
8947A_17,Animal
9198A_18,Animal
9218_4D_19,Animal
9273B_19,Animal
9308AN7_18,Animal
9361_1a_18,Animal
9419A_17,Animal
9470A_17,Animal
9471A_17,Animal
9473E_17,Animal
9478a_18,Animal
9480a_18,Animal
9521A_17,Animal
9529A_19,Animal
9530C_19,Animal
9580d_18,Animal
9623A_17,Animal
962A_20,Animal
9sab,Human